frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
3.285714285714297489e+01,7.018173890367178558e+01,0.000000000000000000e+00,5.849100259002006919e-01
3.314285714285726669e+01,6.996536479331255975e+01,0.000000000000000000e+00,5.317531083424267280e-01
3.342857142857155139e+01,6.998257562088390671e+01,0.000000000000000000e+00,5.097334253004511817e-01
3.371428571428583609e+01,7.000024476232263737e+01,0.000000000000000000e+00,4.662777824286603590e-01
3.400000000000012079e+01,7.000126090280815561e+01,0.000000000000000000e+00,4.664138838082350080e-01
3.428571428571441260e+01,6.999996106984434618e+01,0.000000000000000000e+00,4.886702079518530084e-01
3.457142857142869730e+01,6.999986323631075891e+01,0.000000000000000000e+00,4.753827514123756259e-01
3.485714285714298200e+01,7.000282096632771811e+01,0.000000000000000000e+00,5.459794720558964753e-01
3.514285714285727380e+01,7.000676594923932328e+01,0.000000000000000000e+00,6.044802017182520082e-01
3.542857142857155850e+01,6.997280183905046158e+01,0.000000000000000000e+00,6.011289635399208464e-01
3.571428571428584320e+01,6.985677476038938494e+01,0.000000000000000000e+00,4.957671148935539063e-01
3.600000000000012790e+01,7.029026223327765877e+01,0.000000000000000000e+00,4.672294093046369112e-01
3.628571428571441970e+01,7.300375947827970435e+01,0.000000000000000000e+00,4.037038590484994804e-01
3.657142857142870440e+01,7.673436440566906924e+01,0.000000000000000000e+00,3.230322625803546677e-01
3.685714285714298910e+01,7.973005571035606920e+01,0.000000000000000000e+00,3.433518056784083949e-01
3.714285714285728091e+01,8.111299241092609691e+01,0.000000000000000000e+00,3.928797102131952879e-01
3.742857142857156560e+01,8.136691642146666936e+01,0.000000000000000000e+00,3.533898847517633612e-01
3.771428571428585030e+01,8.121739666749840580e+01,0.000000000000000000e+00,3.982727601018428709e-01
3.800000000000013500e+01,8.108380381973785234e+01,0.000000000000000000e+00,4.110739459130015039e-01
3.828571428571442681e+01,8.096029789265870136e+01,0.000000000000000000e+00,4.219174995289619590e-01
3.857142857142871151e+01,8.063490728006492247e+01,0.000000000000000000e+00,3.968412972113173343e-01
3.885714285714299621e+01,8.012246580234328519e+01,0.000000000000000000e+00,4.024901124787113593e-01
3.914285714285728801e+01,7.997500947810584648e+01,0.000000000000000000e+00,3.365499029674016707e-01
