frequency_hz,velocity_m_s,inside_physical_mask,peak_energy
3.000000000000011013e+01,7.176764523582934885e+01,0.000000000000000000e+00,4.532797189619687250e-01
3.028571428571439483e+01,7.123969273805612090e+01,0.000000000000000000e+00,4.371498126674401297e-01
3.057142857142868309e+01,7.098949895808665644e+01,0.000000000000000000e+00,4.447846766489869097e-01
3.085714285714296778e+01,7.096786514952324865e+01,0.000000000000000000e+00,4.883578593386005973e-01
3.114285714285725604e+01,7.098947467764297414e+01,0.000000000000000000e+00,4.779643316649138107e-01
3.142857142857154429e+01,7.099778380248562826e+01,0.000000000000000000e+00,4.859968769048689796e-01
3.171428571428582899e+01,7.100161546607023411e+01,0.000000000000000000e+00,5.245571563454486386e-01
3.200000000000011369e+01,7.102460331058324527e+01,0.000000000000000000e+00,5.600147287877044189e-01
3.228571428571440549e+01,7.104762457427599998e+01,0.000000000000000000e+00,5.990621657515966536e-01
3.257142857142869019e+01,7.082795187747521481e+01,0.000000000000000000e+00,6.250501529623680996e-01
3.285714285714297489e+01,7.018169135449352325e+01,0.000000000000000000e+00,5.968577836307717988e-01
3.314285714285726669e+01,6.996534852099890145e+01,0.000000000000000000e+00,5.332880175530622102e-01
3.342857142857155139e+01,6.998257680056995866e+01,0.000000000000000000e+00,5.076908474954964223e-01
3.371428571428583609e+01,7.000025029283476385e+01,0.000000000000000000e+00,4.661218540692226853e-01
3.400000000000012079e+01,7.000127059237392757e+01,0.000000000000000000e+00,4.695247515799392257e-01
3.428571428571441260e+01,6.999991934428311424e+01,0.000000000000000000e+00,4.851181500447799833e-01
3.457142857142869730e+01,6.999970243345421750e+01,0.000000000000000000e+00,4.698572344587436111e-01
3.485714285714298200e+01,7.000277944129548757e+01,0.000000000000000000e+00,5.625222132887692794e-01
3.514285714285727380e+01,7.000680977412551442e+01,0.000000000000000000e+00,5.907629079322213039e-01
3.542857142857155850e+01,6.997270759446803368e+01,0.000000000000000000e+00,6.060940316907695857e-01
3.571428571428584320e+01,6.985605847226096898e+01,0.000000000000000000e+00,5.111255651194760441e-01
3.600000000000012790e+01,7.029119295174078275e+01,0.000000000000000000e+00,4.711390561209176653e-01
3.628571428571441970e+01,7.301910201230239750e+01,0.000000000000000000e+00,4.088067633526920042e-01
3.657142857142870440e+01,7.677723890713151889e+01,0.000000000000000000e+00,3.258817181317530953e-01
3.685714285714298910e+01,7.979509779813429304e+01,0.000000000000000000e+00,3.505474687774013942e-01
3.714285714285728091e+01,8.121813081455569261e+01,0.000000000000000000e+00,3.927865391407914797e-01
3.742857142857156560e+01,8.169914679939091684e+01,0.000000000000000000e+00,3.525973798948761062e-01
3.771428571428585030e+01,8.191412518420543165e+01,0.000000000000000000e+00,3.958899859176754910e-01
3.800000000000013500e+01,8.178108055269798626e+01,0.000000000000000000e+00,4.119882713141514441e-01
3.828571428571442681e+01,8.126989447665711452e+01,0.000000000000000000e+00,4.240226173499919704e-01
3.857142857142871151e+01,8.067001170747307981e+01,0.000000000000000000e+00,4.020293170954695738e-01
3.885714285714299621e+01,8.010695595521725920e+01,0.000000000000000000e+00,3.986873643608536688e-01
3.914285714285728801e+01,7.997059045552107648e+01,0.000000000000000000e+00,3.316168460525632522e-01
3.942857142857157271e+01,7.999091227538400517e+01,0.000000000000000000e+00,3.651199137586587651e-01
3.971428571428585741e+01,8.000707547566381095e+01,0.000000000000000000e+00,3.163215748577009045e-01
4.000000000000014211e+01,8.001113173012338109e+01,0.000000000000000000e+00,4.450547593166990223e-01
4.028571428571443391e+01,7.984287501800899634e+01,0.000000000000000000e+00,4.005965238625640579e-01
4.057142857142871861e+01,7.961233607586962080e+01,0.000000000000000000e+00,3.738475585095454301e-01
