frequency_hz,vs_app_min_m_s,vs_app_max_m_s,admissible_cells
1.000000000000003553e+01,1.119565217391304230e+02,1.521739130434782510e+02,3.800000000000000000e+01
1.028571428571432378e+01,1.065217391304347814e+02,1.489130434782608745e+02,4.000000000000000000e+01
1.057142857142861025e+01,1.021739130434782510e+02,1.445652173913043441e+02,4.000000000000000000e+01
1.085714285714289673e+01,1.032608695652173907e+02,1.456521739130434696e+02,3.700000000000000000e+01
1.114285714285718321e+01,1.010869565217391255e+02,1.434782608695652186e+02,4.000000000000000000e+01
1.142857142857146968e+01,1.054347826086956417e+02,1.445652173913043441e+02,3.700000000000000000e+01
1.171428571428575616e+01,1.076086956521739069e+02,1.500000000000000000e+02,4.000000000000000000e+01
1.200000000000004441e+01,1.097826086956521721e+02,1.521739130434782510e+02,4.000000000000000000e+01
1.228571428571433088e+01,1.097826086956521721e+02,1.521739130434782510e+02,4.000000000000000000e+01
1.257142857142861736e+01,1.065217391304347814e+02,1.489130434782608745e+02,4.000000000000000000e+01
1.285714285714290384e+01,1.010869565217391255e+02,1.434782608695652186e+02,4.000000000000000000e+01
1.314285714285719031e+01,9.782608695652173481e+01,1.402173913043478137e+02,4.000000000000000000e+01
1.342857142857147679e+01,8.913043478260868824e+01,1.315217391304347814e+02,4.000000000000000000e+01
1.371428571428576504e+01,8.260869565217390686e+01,1.250000000000000000e+02,3.700000000000000000e+01
1.400000000000005151e+01,7.934782608695651618e+01,1.195652173913043441e+02,3.600000000000000000e+01
1.428571428571433799e+01,8.043478260869564167e+01,1.184782608695652186e+02,3.600000000000000000e+01
1.457142857142862447e+01,7.608695652173912549e+01,1.152173913043478279e+02,3.700000000000000000e+01
1.485714285714291094e+01,6.847826086956521863e+01,1.108695652173912976e+02,3.800000000000000000e+01
1.514285714285719742e+01,6.630434782608695343e+01,1.086956521739130324e+02,3.500000000000000000e+01
1.542857142857148389e+01,6.739130434782607892e+01,1.065217391304347814e+02,3.500000000000000000e+01
1.571428571428577214e+01,7.065217391304346961e+01,1.097826086956521721e+02,3.600000000000000000e+01
1.600000000000005684e+01,7.608695652173912549e+01,1.184782608695652186e+02,4.000000000000000000e+01
1.628571428571434510e+01,8.043478260869564167e+01,1.217391304347826093e+02,3.900000000000000000e+01
1.657142857142863335e+01,7.934782608695651618e+01,1.217391304347826093e+02,4.000000000000000000e+01
1.685714285714291805e+01,8.043478260869564167e+01,1.228260869565217348e+02,4.000000000000000000e+01
1.714285714285720630e+01,9.021739130434782794e+01,1.326086956521739069e+02,4.000000000000000000e+01
1.742857142857149100e+01,8.804347826086956275e+01,1.304347826086956559e+02,4.000000000000000000e+01
1.771428571428577925e+01,8.913043478260868824e+01,1.315217391304347814e+02,4.000000000000000000e+01
1.800000000000006395e+01,9.239130434782607892e+01,1.347826086956521578e+02,3.700000000000000000e+01
1.828571428571435220e+01,9.021739130434782794e+01,1.326086956521739069e+02,3.400000000000000000e+01
1.857142857142864045e+01,8.913043478260868824e+01,1.315217391304347814e+02,3.600000000000000000e+01
1.885714285714292515e+01,8.913043478260868824e+01,1.315217391304347814e+02,3.500000000000000000e+01
1.914285714285721340e+01,8.586956521739129755e+01,1.282608695652173765e+02,3.600000000000000000e+01
1.942857142857149810e+01,8.478260869565217206e+01,1.250000000000000000e+02,3.800000000000000000e+01
1.971428571428578636e+01,8.586956521739129755e+01,1.184782608695652186e+02,3.100000000000000000e+01
2.000000000000007105e+01,8.804347826086956275e+01,1.163043478260869534e+02,2.500000000000000000e+01
2.028571428571435931e+01,8.913043478260868824e+01,1.152173913043478279e+02,2.200000000000000000e+01
